country,year,population,primary_energy_consumption,fossil_fuel_consumption,renewables_share_energy,energy_per_capita,fossil_fuel_per_capita
Africa,1965,321447378.0,716.321,675.202,5.74,2.22842383862904e-06,2.100505545265328e-06
Africa,1966,329658389.0,750.133,704.27,6.114,2.2754858515067244e-06,2.136363045807398e-06
Africa,1967,338159967.0,757.934,710.059,6.317,2.241347509949337e-06,2.099772502047825e-06
Africa,1968,346980412.0,800.596,744.596,6.995,2.3073233309781185e-06,2.1459309351445463e-06
Africa,1969,356070643.0,822.668,757.316,7.944,2.3104067020768122e-06,2.1268700885290337e-06
Africa,1970,365450443.0,893.035,811.332,9.149,2.4436555410058703e-06,2.2200876084312203e-06
Africa,1971,375086296.0,953.168,875.723,8.125,2.5411965464075498e-06,2.3347240604066214e-06
Africa,1972,384930776.0,1007.763,919.611,8.747,2.6180369636123876e-06,2.38902955371903e-06
Africa,1973,395212420.0,1091.498,998.266,8.542,2.761800856359727e-06,2.5258973389550865e-06
Africa,1974,406069208.0,1145.929,1039.903,9.252,2.82200417422441e-06,2.560900899434857e-06
Africa,1975,417556976.0,1214.47,1102.39,9.229,2.9085132564040796e-06,2.6400947975061496e-06
Africa,1976,429573262.0,1318.827,1194.641,9.416,3.0700863313974136e-06,2.7809947817469142e-06
Africa,1977,441701768.0,1391.542,1255.128,9.803,3.1504107540724173e-06,2.8415734120403155e-06
Africa,1978,454463053.0,1445.103,1307.552,9.518,3.17980304550742e-06,2.877135976992171e-06
Africa,1979,467976240.0,1574.47,1427.264,9.35,3.3644229459170835e-06,3.0498642409708663e-06
Africa,1980,481543145.0,1692.144,1548.626,8.481,3.5140028833761094e-06,3.215965207022104e-06
Africa,1981,495655683.0,1898.898,1749.783,7.853,3.831082876941411e-06,3.530238954205635e-06
Africa,1982,510540596.0,2023.654,1874.441,7.373,3.963747478368987e-06,3.671482766866986e-06
Africa,1983,525335348.0,2083.755,1949.226,6.456,3.966523493865484e-06,3.7104413541195786e-06
Africa,1984,540183119.0,2148.277,2004.837,6.159,3.976942122843347e-06,3.7114025401449096e-06
Africa,1985,555652995.0,2235.495,2073.333,6.579,4.023185369494859e-06,3.731344955676879e-06
Africa,1986,571646786.0,2281.272,2103.083,6.716,3.990702048659817e-06,3.678990333726813e-06
Africa,1987,588080029.0,2354.796,2190.264,6.244,4.004210114062554e-06,3.7244318663982385e-06
Africa,1988,604511530.0,2520.53,2330.396,6.362,4.169531720925158e-06,3.855006702684397e-06
Africa,1989,621167964.0,2524.404,2324.647,6.665,4.063963607756179e-06,3.7423807001096406e-06
Africa,1990,638157571.0,2608.015,2412.283,6.586,4.086788464976152e-06,3.780074247524676e-06
Africa,1991,655040869.0,2605.118,2397.308,6.981,3.977031240778963e-06,3.6597838599899635e-06
Africa,1992,671931834.0,2644.381,2444.305,6.569,3.9354899800743775e-06,3.637727632949148e-06
Africa,1993,689140286.0,2651.666,2460.531,6.432,3.847788402258637e-06,3.5704355847221503e-06
Africa,1994,706488557.0,2741.011,2540.559,6.309,3.879767015108215e-06,3.5960370126702563e-06
Africa,1995,724331972.0,2851.845,2639.934,6.306,3.937207123586696e-06,3.644646518516513e-06
Africa,1996,742765067.0,2924.537,2702.982,6.433,3.937364760316602e-06,3.639080673135642e-06
Africa,1997,761224818.0,2986.506,2757.521,6.466,3.923290372805475e-06,3.6224791083992224e-06
Africa,1998,779908311.0,3032.832,2791.762,6.676,3.88870327091565e-06,3.5796028335951406e-06
Africa,1999,799099611.0,3125.787,2874.976,6.859,3.9116362428062796e-06,3.5977692398100794e-06
Africa,2000,818952374.0,3196.057,2928.931,7.203,3.902616442015467e-06,3.576436302021148e-06
Africa,2001,839464127.0,3310.455,3034.063,7.436,3.94353361093654e-06,3.6142854738091744e-06
Africa,2002,860611762.0,3353.255,3062.41,7.672,3.896362039262949e-06,3.558410580960663e-06
Africa,2003,882349569.0,3515.312,3230.302,7.105,3.9840354928535135e-06,3.6610229250307484e-06
Africa,2004,904781595.0,3774.621,3474.193,6.98,4.171858734593292e-06,3.839813960848751e-06
Africa,2005,927898412.0,3785.477,3488.385,7.029,4.079624397503549e-06,3.759447106371382e-06
Africa,2006,951740562.0,3858.375,3554.694,7.161,4.05401971298981e-06,3.734940110706346e-06
Africa,2007,976461747.0,4006.39,3692.942,7.057,4.102966667469463e-06,3.7819627971560468e-06
Africa,2008,1001981577.0,4245.486,3923.35,6.762,4.237089880146569e-06,3.91559095502212e-06
Africa,2009,1028200528.0,4317.645,3989.264,6.811,4.199224647743033e-06,3.879850176462855e-06
Africa,2010,1055233717.0,4454.202,4100.631,7.129,4.221057314831801e-06,3.885993153874935e-06
Africa,2011,1082676070.0,4492.596,4132.307,7.259,4.149529230843718e-06,3.8167528723526695e-06
Africa,2012,1110797495.0,4674.143,4312.962,6.997,4.207916403340467e-06,3.882761726969865e-06
Africa,2013,1140180888.0,4807.251,4424.736,7.19,4.216217839287269e-06,3.8807315984408955e-06
Africa,2014,1170299297.0,4939.468,4532.374,7.516,4.220687829738994e-06,3.872833224473859e-06
Africa,2015,1201108186.0,5045.052,4633.663,7.528,4.200331043285388e-06,3.8578231786358e-06
Africa,2016,1232111820.0,5186.279,4763.673,7.404,4.209260000443791e-06,3.866266780883572e-06
Africa,2017,1263333997.0,5359.562,4913.742,7.642,4.2423951328209206e-06,3.8895034976249435e-06
Africa,2018,1295265310.0,5491.605,5022.572,8.006,4.2397530124542585e-06,3.877639554787428e-06
Africa,2019,1327701380.0,5610.236,5107.906,8.356,4.225525471699065e-06,3.84717985304798e-06
Africa,2020,1360677453.0,5317.983,4792.29,9.416,3.9083347697685415e-06,3.5219882488932518e-06
